StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Luddy or not?,"other_department ","luddy_department ",sense of belonging _1,sense of belonging _2,sense of belonging _3,sense of belonging _4,sense of belonging _5,sense of belonging _6,sense of belonging _7,sense of belonging _8,sense of belonging _9,sense of belonging _10,sense of belonging _11,sense of belonging _12,sense of belonging _13,sense of belonging _14,sense of belonging _15,sense of belonging _16,Q19,Q12,Q13,Q15,Q16,Q17,Q14,Q6,Q10,Q10_4_TEXT,Q11,Q12,nationality,Q22
2022-09-14 12:39:59,2022-09-14 12:43:43,IP Address,68.39.251.89,100,224,True,2022-09-14 12:43:43,R_yHJ1WCcsIyhHATD,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,four years,Yes,No,Yes,No,Yes,Yes,"I400, computers and environment ",Female,,White or Caucasian,No,,Q2LUD2F-5251
2022-09-14 12:43:19,2022-09-14 12:45:44,IP Address,68.57.244.236,100,145,True,2022-09-14 12:45:44,R_1AoPNSzGtGg2J3z,,,,,40.0623,-86.0585,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Male,,White or Caucasian,No,,
2022-09-14 13:03:23,2022-09-14 13:06:26,IP Address,68.50.221.177,100,182,True,2022-09-14 13:06:26,R_ulClpxFrPJFX98l,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,three years,Yes,Yes,Yes,Yes,Yes,Yes,I400 Computing and the Environment,Male,,"White or Caucasian,Black or African American",No,,
2022-09-07 13:38:12,2022-09-07 13:56:29,IP Address,129.79.197.206,94,1096,False,2022-09-14 13:56:32,R_bK0h7rDM3Gfh5PH,,,,,,,anonymous,EN,"Yes, I am a student in the Luddy School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-07 13:19:23,2022-09-07 14:01:42,IP Address,129.79.197.206,94,2539,False,2022-09-14 14:01:45,R_3mgZo6WLzAtDcxJ,,,,,,,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,more than four years,Yes,Yes,Yes,Yes,Yes,Yes,,Male,,Asian,No,,
2022-09-07 13:37:58,2022-09-07 14:17:35,IP Address,156.56.158.68,18,2377,False,2022-09-14 14:17:38,R_7ZFjOm21OH0VRo5,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-14 16:12:51,2022-09-14 16:15:46,IP Address,129.79.197.99,100,174,True,2022-09-14 16:15:46,R_1BQtSjF8eyQnbgO,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,three years,Yes,Yes,Yes,Yes,Yes,Yes,I400,Male,,Prefer not to say,No,,
2022-09-14 16:25:29,2022-09-14 16:28:51,IP Address,129.79.197.238,100,201,True,2022-09-14 16:28:51,R_21gsOZLPJtFRzth,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,Computing and Environment,Male,,Asian,No,,Q2LUD2F-1384
2022-09-14 17:48:54,2022-09-14 17:55:15,IP Address,173.243.185.71,100,380,True,2022-09-14 17:55:15,R_C1S3egTYRqepGrT,,,,,39.1963,-86.5776,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,more than four years,Yes,Yes,Yes,Yes,Yes,Yes,INFO-I590,Female,,White or Caucasian,No,,
2022-09-14 19:32:33,2022-09-14 19:35:19,IP Address,69.223.61.170,100,165,True,2022-09-14 19:35:19,R_3qmL9sRmGTTaehx,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,more than four years,No,Yes,Yes,Yes,Yes,Yes,INFO-I 400: Computing and Environment,Male,,White or Caucasian,No,,
2022-09-15 08:44:55,2022-09-15 08:50:24,IP Address,47.227.113.182,100,329,True,2022-09-15 08:50:25,R_D15GICeKbWVi0gx,,,,,39.7436,-86.1158,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,more than four years,No,No,Yes,No,Yes,Yes,Applied Algorithms,Female,,White or Caucasian,No,,
2022-09-15 10:41:28,2022-09-15 10:44:40,IP Address,129.79.197.17,100,192,True,2022-09-15 10:44:41,R_2S0uwM6JPbZDYjc,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,four years,Yes,Yes,Yes,Yes,Yes,Yes,I400,Male,,White or Caucasian,No,,Q2LUD2F-2174
2022-09-15 12:00:03,2022-09-15 12:03:05,IP Address,129.79.197.216,100,182,True,2022-09-15 12:03:06,R_1igmxWivpaPmEd6,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,CSCI-B505 Applied Algorithms,Male,,White or Caucasian,Yes,,Q2LUD2F-8866
2022-09-15 15:40:45,2022-09-15 15:42:33,IP Address,73.102.77.14,100,108,True,2022-09-15 15:42:34,R_Y09sP92tHgVOB6V,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,FA22: APPLIED ALGORITHMS: 9361 Fall 2022,Male,,"White or Caucasian,Asian",No,,
2022-09-15 17:20:13,2022-09-15 17:23:49,IP Address,12.159.86.138,100,216,True,2022-09-15 17:23:50,R_2xQ1prnN0oUDdZz,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,this is my first year,Yes,No,Yes,Yes,Yes,Yes,Applied Algorithm,Male,,Prefer not to say,No,,
2022-09-15 20:46:55,2022-09-15 20:51:28,IP Address,73.146.10.134,100,272,True,2022-09-15 20:51:28,R_2zNlM6lbrKp3MpT,,,,,38.8729,-86.486,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algo,Female,,Asian,No,,
2022-09-05 09:19:30,2022-09-09 10:08:11,IP Address,73.102.129.218,76,348520,False,2022-09-16 10:08:16,R_1QgRCWzEvYhl69o,,,,,,,anonymous,EN,"Yes, I am a student in the Luddy School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-16 16:52:57,2022-09-16 16:55:11,IP Address,129.79.197.224,100,134,True,2022-09-16 16:55:12,R_Rzso81aFI8TLy25,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",Math,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,M505,Male,,Asian,No,,
2022-09-16 18:22:25,2022-09-16 18:25:13,IP Address,68.54.132.234,100,167,True,2022-09-16 18:25:13,R_2dsTXjcWFNoraf0,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,CSCI-B505 Applied Algorithms (Online),Male,,Asian,No,,Okay
2022-09-16 21:36:55,2022-09-16 21:45:24,IP Address,73.146.10.229,100,508,True,2022-09-16 21:45:24,R_3qX9WOJRqUHeuj6,,,,,38.8729,-86.486,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,applied algorithms CSCI-B505-9361,Female,,Asian,No,,Q2LUD2F-7619
2022-09-16 23:16:23,2022-09-16 23:19:26,IP Address,76.167.172.163,100,183,True,2022-09-16 23:19:26,R_1118azkSb1QFUmF,,,,,33.0287,-117.0846,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,CSCI-B505 Applied Algorithms,Male,,"White or Caucasian,Asian",No,,
2022-09-09 14:56:11,2022-09-10 06:43:53,IP Address,47.227.88.6,94,56861,False,2022-09-17 06:43:54,R_1mIBFqs0mv0E2a0,,,,,,,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,this is my first year,No,Yes,Yes,Yes,Yes,Yes,The Information Society,Male,,White or Caucasian,No,,
2022-09-17 09:43:10,2022-09-17 09:44:16,IP Address,73.146.10.229,100,66,True,2022-09-17 09:44:17,R_rjyXOYywZ2nGfK1,,,,,38.8729,-86.486,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,CSCI-B505,Female,,Asian,No,,Q2LUD2F-4342
2022-09-17 09:58:40,2022-09-17 10:00:51,IP Address,131.179.60.162,100,131,True,2022-09-17 10:00:51,R_yC2M8BirpIdLSBr,,,,,34.0648,-118.4414,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,two years,Yes,Yes,Yes,Yes,Yes,Yes,csci-b505,Male,,White or Caucasian,No,,Q2LUD2F-1052
2022-09-17 10:21:11,2022-09-17 10:24:32,IP Address,68.45.152.210,100,200,True,2022-09-17 10:24:32,R_337Q26jatDuEVTa,,,,,39.1215,-86.5784,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Male,,Asian,No,,
2022-09-17 13:43:38,2022-09-17 13:46:46,IP Address,73.102.44.4,100,187,True,2022-09-17 13:46:46,R_1q7X8y4oENTda1z,,,,,39.1397,-86.5141,anonymous,EN,"No, I am a student in another school/department",The College of Arts and Sciences,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,I222 The Information Society,Non-binary / third gender,,White or Caucasian,No,,
2022-09-17 18:30:02,2022-09-17 18:34:31,IP Address,73.102.130.42,100,269,True,2022-09-17 18:34:31,R_3MaGOsWSvbuV7lX,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Female,,Asian,No,,Q2LUD2F-4577
2022-09-17 20:56:17,2022-09-17 21:00:12,IP Address,73.146.18.103,100,234,True,2022-09-17 21:00:12,R_DCPbemXsNLSoUQ9,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Alogortihm Online,Male,,Asian,No,,
2022-09-17 23:44:11,2022-09-17 23:48:03,IP Address,173.230.72.33,100,232,True,2022-09-17 23:48:03,R_1QfKtKKm7Sdwqk6,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,FA22: APPLIED ALGORITHMS: 9361,Male,,Asian,No,,Q2LUD2F-8465
2022-09-18 07:06:06,2022-09-18 07:08:33,IP Address,66.244.82.99,100,146,True,2022-09-18 07:08:33,R_vZaytn0DCDTEWu5,,,,,39.2273,-86.466,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Male,,Asian,No,,Q2LUD2F-7900
2022-09-18 08:13:14,2022-09-18 08:18:47,IP Address,68.45.173.48,100,333,True,2022-09-18 08:18:48,R_O1AXAc10hK4DOBX,,,,,40.0623,-86.0585,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,this is my first year,No,No,Yes,No,Yes,No,CSCID 505 Applied Algorithms,Female,,White or Caucasian,No,,
2022-09-18 10:06:31,2022-09-18 10:08:58,IP Address,70.89.194.41,100,147,True,2022-09-18 10:08:59,R_erJbDssnpA6vHd7,,,,,39.2273,-86.466,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Male,,White or Caucasian,No,,Q2LUD2F-1097
2022-09-11 10:12:49,2022-09-11 10:25:39,IP Address,68.50.12.222,94,770,False,2022-09-18 10:25:40,R_1eUAv8u9U1r5q40,,,,,,,anonymous,EN,"No, I am a student in another school/department",Political Science,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,three years,Yes,No,Yes,No,Yes,Yes,CSCI-P 556,Non-binary / third gender,,Prefer not to say,No,,
2022-09-18 11:22:25,2022-09-18 11:27:33,IP Address,66.244.93.132,100,308,True,2022-09-18 11:27:33,R_ZlR1UBhUJYKZFSh,,,,,39.1215,-86.5784,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,CSCI-B505 Applied Algorithms,Male,,Asian,No,,
2022-09-18 12:22:18,2022-09-18 12:27:09,IP Address,106.213.33.50,100,291,True,2022-09-18 12:27:10,R_8IAL2QSlabn5iOR,,,,,18.6161,73.7286,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,CSCI-B505: APPLIED ALGORITHMS: 9361,Female,,Asian,No,,
2022-09-18 12:52:32,2022-09-18 12:54:54,IP Address,12.159.86.243,100,142,True,2022-09-18 12:54:55,R_2qn4Xmk5EOErBst,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms (CSCI B505),Male,,Asian,No,,Q2LUD2F-6808
2022-09-11 12:32:35,2022-09-11 13:21:58,IP Address,129.79.197.51,76,2962,False,2022-09-18 13:22:01,R_1OiNsFLJ9uUDIhx,,,,,,,anonymous,EN,"No, I am a student in another school/department",Kelley,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Information Society,,,,,,
2022-09-18 13:45:01,2022-09-18 13:47:59,IP Address,96.2.59.138,100,177,True,2022-09-18 13:48:00,R_31aOHQqdAGfWFqO,,,,,46.8393,-100.782,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,this is my first year,Yes,No,Yes,Yes,Yes,Yes,CSCI B505-9361,Male,,White or Caucasian,No,,
2022-09-11 14:25:10,2022-09-11 14:27:12,IP Address,104.241.40.57,94,122,False,2022-09-18 14:27:12,R_2SGBm6IGMOROGp1,,,,,,,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,two years,Yes,Yes,Yes,Yes,Yes,Yes,Information Society,Male,,White or Caucasian,No,,
2022-09-18 14:44:16,2022-09-18 14:47:47,IP Address,66.244.80.231,100,210,True,2022-09-18 14:47:48,R_1DYHRnFbptbZqtj,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,CSCI-B505 Applied Algorithms,Male,,Asian,No,,
2022-09-11 17:27:33,2022-09-11 17:30:04,IP Address,99.137.51.183,94,150,False,2022-09-18 17:30:05,R_pDEQBzcVRfYxYgp,,,,,,,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Strongly agree,more than four years,No,No,No,No,No,No,I222,Male,,White or Caucasian,No,,
2022-09-18 17:55:42,2022-09-18 17:58:55,IP Address,129.79.197.140,100,192,True,2022-09-18 17:58:55,R_1CmeoY0YVOiVrOt,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,FA22-BL-CSCI-B505-9361,Male,,Asian,No,,
2022-09-18 18:47:25,2022-09-18 18:51:24,IP Address,73.146.10.134,100,238,True,2022-09-18 18:51:24,R_21BMrRJkZyAPf4h,,,,,38.8729,-86.486,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Applied Algorithms,Female,,Asian,No,,
2022-09-18 18:52:24,2022-09-18 18:55:08,IP Address,68.51.123.4,100,164,True,2022-09-18 18:55:08,R_1MMLCJrf3zwynNS,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,No,Yes,Yes,Yes,Yes,Applied Algorithm,Female,,Prefer not to say,No,,
2022-09-18 18:48:48,2022-09-18 19:08:47,IP Address,68.50.32.164,100,1198,True,2022-09-18 19:08:47,R_9G1pslsZ3yYaCuR,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,CSCI B505 Applied Algorithms Online,Prefer not to say,,Prefer not to say,No,,
